Name,이름
Level,레벨
ReqExp,요구 경험치
MaxHP,최대 체력
MaxMana,최대 마나
PhysicalAttack,물리 공격력
MagicAttack,술법 공격력
PhysicalDefense,물리 방어력
MagicDefense,술법 방어력
Accuracy,명중
Dodge,회피
Critical,치명
AvoidCritical,치명회피
CriticalOutcome,치명피해
ReducePhysicalDef,물리 방어 무시
ReduceMagicDef,술법 방어 무시
Luck,행운
ManaCost,마력소모
ActingPointMax,최대 행동력
RecommendCombatpoint,권장 전투력
SlotNumber,체질 대상 슬롯
MasteryCount,체질 레벨
Description,설명
DetailDescription,상세 설명
MasteryItemUseId1,필요 재료 #1
MasteryItemUseId1Count,체질 재료 1 개수
MasteryItemUseId2,필요 재료 #2
MasteryItemUseId2Count,체질 재료 2 개수
MasteryItemUseId3,필요 재료 #3
MasteryItemUseId3Count,체질 재료 3 개수
MasteryItemUseId4,필요 재료 #4
MasteryItemUseId4Count,체질 재료 4 개수
MasteryCostValueType,체질 강화 재화
MasteryCostValue,체질 재화 수치
MasterySuccessProbability,체질 강화 성공 확률	
Status1Type,체질 증가 능력치 1		
Status1Value,증가 능력치 1 수치
Status2Type,체질 증가 능력치 2
Status2Value,증가 능력치 2 수치
StepGrade,제한 단계 구분
MaxLv,최대 제한 레벨
CapMaterialUseId1,체질 승급 재료 1
CapMaterialUseId1Count,체질 승급 재료 1 개수
CapMaterialUseId2,체질 승급 재료 2
CapMaterialUseId2Count,체질 승급 재료 2 개수
CapMaterialUseId3,체질 승급 재료 3
CapMaterialUseId3Count,체질 승급 재료 3 개수
CapMaterialUseId4,체질 승급 재료 4
CapMaterialUseId4Count,체질 승급 재료 4 개수
CapStepCostType,체질 강화 비용 타입
CapStepCost,체질 강화 비용
CapStepStatus1,체질 승급 능력치 1
CapStepStatus1Value,체질 강화 값 1
CapStepStatus2,체질 승급 능력치 2
CapStepStatus2Value,체질 강화 값 2
CapStepStatus3,체질 승급 능력치 3
CapStepStatus3Value,체질 강화 값 3
CapStepStatus4,체질 승급 능력치 4
CapStepStatus4Value,체질 강화 값 4
CapStepStatus5,체질 승급 능력치 5
CapStepStatus5Value,체질 강화 값 5
CapStepStatus6,체질 승급 능력치 6
CapStepStatus6Value,체질 강화 값 6
CapStepStatus7,체질 승급 능력치 7
CapStepStatus7Value,체질 강화 값 7
CapStepStatus8,체질 승급 능력치 8
CapStepStatus8Value,체질 강화 값 8
BloodLevel, 혈맥 레벨
TrainingCost_Spirit, 필요 진기량
ForcePanelID,내공판 그룹 ID
ForceLevelID,내공판 ID
ForcePanelLevel,내공 판의 레벨
ForceReward_Attribute01Type,보상 스탯 #1
ForceReward_Attribute01Value,내공 판 레벨 보상 밸류1
ForceReward_Attribute02Type,보상 스탯 #2
ForceReward_Attribute02Value,내공 판 레벨 보상 밸류2
ForceReward_Attribute03Type,보상 스탯 #3 
ForceReward_Attribute03Value,내공 판 레벨 보상 밸류3
ForceReward_Attribute04Type,보상 스탯 #4
ForceReward_Attribute04Value,내공 판 레벨 보상 밸류4
ForceReflowTimeMinute,주화입마 시간 (분)
HardTraining_NeedLevel,내공 승급 가능 레벨
HardTraining_NeedCostId,내공 승급 비용
HardTraining_NeedCostCount,내공 승급 요구 비용 량
HardTraining_NeedUseId01,내공 승급 아이템 #1
HardTraining_NeedItem01Count,필요 수량 #1
HardTraining_NeedUseId02,내공 승급 아이템 #2
HardTraining_NeedItem02Count,필요 수량 #2
HardTraining_NeedUseId03,내공 승급 아이템 #3
HardTraining_NeedItem03Count,필요 수량 #3
HardTraining_NeedUseId04,내공 승급 아이템 #4
HardTraining_NeedItem04Count,필요 수량 #4
HardTraining_Time,내공 승급 진행 시간
HardTraining_Pass_NeedUseId	uint32,즉시 승급 요구 아이템 UseId
HardTraining_Pass_NeedItem_UseTime,즉시 승급 시 차감 시간
HardTraining_Succecs_ForceLevel,수련완료 시 부여될 내공 갑자
TrainingCost_Spirit	uint16,이 레벨로 도달하기 위해 수련에 필요한 진기량
Blood1_Training_NeedUse01Id,1번 혈맥 필요 아이템 #1
Blood1_Training_NeedItem01Count,1번 혈맥 필요 수량 #1
Blood1_Training_NeedUse02Id,1번 혈맥 필요 아이템 #2
Blood1_Training_NeedItem02Count,1번 혈맥 필요 수량 #2
Blood2_Training_NeedUse01Id,2번 혈맥 필요 아이템 #1
Blood2_Training_NeedItem01Count,2번 혈맥 필요 수량 #1
Blood2_Training_NeedUse02Id,2번 혈맥 필요 아이템 #2
Blood2_Training_NeedItem02Count,2번 혈맥 필요 수량 #2
Blood3_Training_NeedUse01Id,3번 혈맥 필요 아이템 #1
Blood3_Training_NeedItem01Count,3번 혈맥 필요 수량 #1
Blood3_Training_NeedUse02Id,3번 혈맥 필요 아이템 #2
Blood3_Training_NeedItem02Count,3번 혈맥 필요 수량 #2
Blood4_Training_NeedUse01Id,4번 혈맥 필요 아이템 #1
Blood4_Training_NeedItem01Count,4번 혈맥 필요 수량 #1
Blood4_Training_NeedUse02Id,4번 혈맥 필요 아이템 #2
Blood4_Training_NeedItem02Count,4번 혈맥 필요 수량 #2
TrainingChanceSuccess,강화 성공 확률
TrainingChanceFail,강화 실패 확률
TrainingChanceCriticalFail,주화입마 확률
Blood1_AttributeType,1번 혈맥 스탯
Blood1_AttributeValue,1번 혈맥 값
Blood2_AttributeType,2번 혈맥 스탯
Blood2_AttributeValue,2번 혈맥 값
Blood3_AttributeType,3번 혈맥 스탯
Blood3_AttributeValue,3번 혈맥 값
Blood4_AttributeType,4번 혈맥 스탯
Blood4_AttributeValue,4번 혈맥 값
HardTraining_ForcePanelLevel,내공 갑자 레벨
ClassId,클래스
ShowOnOff,오픈 연출
DefaultBtnType,오픈 전 버튼 상태
OpenConditionType,오픈 조건
OpenConditionValue,조건 값
PlanAlramType,예정 알림 조건
PlanAlramValue,알림 참조 값
TutorialGroupId,튜토리얼 그룹
Textkr,컨텐츠
AccountType,계정구분
DungeonId,토벌ID
SDName,비정봉ID
Stage_ID,스테이지ID
IsShow,UI에서 던전 노출 여부
TitleSId,타이틀
DungeonKind,던전 종류 구분
MemberKind,타입
RecommendedPerson,권장 인원
OccupationID,토벌 지역
ConditionReqCombatPoint,입장 조건 - 전투력
NeedEnterType,티켓 필요 여부
NeedEnterTypeSub,필요 티켓
NeedEnterCount,필요 수량
DungeonCoolTime,재입장 대기시간
RecommendedCombatPoint,권장 전투력
Timeset,진행 시간
RewardExp,보상 경험치
RewardCost01Id,보상 재화 #1
RewardCost01Count,보상 재화 량 #1
RewardCost02Id,보상 재화 #2
RewardCost02Count,보상 재화 량 #2
Levelofdifficulty,던전 난이도
Stage_Story,던전 설명
DungeonSchedule,던전 Default 스케줄
DropID01,기본 보상
DropID02,보너스 보상
GuildContributionReward,문파 공헌도
FirstClearRewardType1,첫 클리어 보상 #1
FirstClearRewardTypeSub1,첫 클리어 보상 타입 Sub1
FirstClearRewardValue1,첫 클리어 보상 #1 개수
FirstClearRewardType2,첫 클리어 보상 #2
FirstClearRewardTypeSub2,첫 클리어 보상 타입 Sub2
FirstClearRewardValue2,첫 클리어 보상 #2 개수
FirstClearRewardType3,첫 클리어 보상 #3
FirstClearRewardTypeSub3,첫 클리어 보상 타입 Sub3
FirstClearRewardValue3,첫 클리어 보상 #3 개수
FirstClearRewardType4,첫 클리어 보상 #4
FirstClearRewardTypeSub4,첫 클리어 보상 타입 Sub4
FirstClearRewardValue4,첫 클리어 보상 #4 개수
FirstClearRewardType5,첫 클리어 보상 #5
FirstClearRewardTypeSub5,첫 클리어 보상 타입 Sub5
FirstClearRewardValue5,첫 클리어 보상 #5 개수
GuildClearRewardType1,문파 보상 #1
GuildClearRewardTypeSub1,완료시 문파 지급 보상 타입 Sub1
GuildClearRewardValue1,완료시 문파 지급 보상 값1
GuildClearRewardType2,문파 보상 #2
GuildClearRewardTypeSub2,완료시 문파 지급 보상 타입 Sub2
GuildClearRewardValue2,완료시 문파 지급 보상 값2
GuildClearRewardType3,문파 보상 #3
GuildClearRewardTypeSub3,완료시 문파 지급 보상 타입 Sub3
GuildClearRewardValue3,완료시 문파 지급 보상 값3
GuildMemberClearRewardType1,완료시 문파원 전체 지급 보상 타입1
GuildMemberClearRewardTypeSub1,완료시 문파원 전체 지급 보상 타입 Sub1
GuildMemberClearRewardValue1,완료시 문파원 전체 지급 보상 값1
GuildMemberClearRewardType2,완료시 문파원 전체 지급 보상 타입2
GuildMemberClearRewardTypeSub2,완료시 문파원 전체 지급 보상 타입 Sub2
GuildMemberClearRewardValue2,완료시 문파원 전체 지급 보상 값2
GuildMemberClearGiftId,문파 선물
GuildChallangeReward01,보스 클리어 보상 #1
GuildChallangeReward02,보스 클리어 보상 #2
GuildChallangeReward03,보스 클리어 보상 #3
GuildChallangeReward04,보스 클리어 보상 #4
GuildChallangeReward05,보스 클리어 보상 #5
MissionId,임무 ID
MissionShowType,미션표시여부
MissionTapMenu,임무 탭 메뉴
MissionIconType,임무 트래커 아이콘
IconKindType,임무페이지 아이콘 출력
StepNo,미션 단계
MissionAutoInvest,임무자동부여
AutomaticAction,임무자동진행여부
MissionCombatPower,권장 전투력
MissionOpenCondition,미션 부여 오픈 조건
MissionOpenConditionValue,미션 오픈 조건 값
StageGroup,지역 그룹
MissionMiniGroupId,미션 지역 카테고리
MissionInvestNPC,미션 수락 NPC
HintNPC,힌트 NPC
HintCinematicDialogueID,힌트 대화연출
CinematicDialogueType,대화 연출 타입
CinematicDialogueID,대화 연출 ID
MissionType,임무 유형
HelperType,헬퍼 타입
BattleType,퀘스트 전투 Ai
PcTargetSearchDist,PC 타켓 검색 범위
MissionRepeat,미션 반복 여부
MissionRepeatCount,미션 반복 횟수
CountIndication,카운트 표시 여부
MissionGetStageId,미션 수락 스테이지
MissionStageId,미션 스테이지
MissionCoordinate,미션 좌표
PhaseExitCoordinate,위상 재시작 좌표
EffectId,이펙트 ID
MissionCloseCondition,미션 종료 조건
MissionCloseConditionValue,미션 종료 조건 값
ContentOpenPage,컨텐츠 오픈 페이지
CountSmallTalk,조건부 미니대화
MissionObjectiveSID,임무 목표
RewardEXP,보상 경험치
RewardGOLD,동전 보상
RewardGoodsType,기타 재화 보상
RewardGoodsCount,재화 보상 량
RewardItemCount01,보상 개수 #1
RewardItemCount02,보상 개수 #2
TestValue,TestValue
RequestId,의뢰 ID
RequestIndex,의뢰 인덱스
RequestShowType,의뢰표시여부
RequestIconType,의뢰 트래커 아이콘
RequestStageVisible,수행지역 감춤
PartyMember,파티 인원수
RequestHint,의뢰 힌트
RequestStory,의뢰 스토리
StoryNo,줄거리출력
RequestCombatPower,의뢰 권장 전투력
LockInvisible,잠긴 의뢰 숨기기
RequestOpenCondition,의뢰 오픈 조건
RequestOpenConditionValue,조건 내용
AcceptMoveNPC,수락NPC이동제어
AcceptNPC,수락 NPC
AcceptCinematicDialogueID,수락 대화연출
MapNpcShowType,NPC 미니맵 표시 여부
Parameter1,목표 값 #1
Parameter2,목표 값 #2
Parameter3,목표 값 #3
AutoBattleType,자동전투 On/Off
CoordinateRange,완료 좌표 범위
StringMESSAGE,스트링 출력 컬럼
RequestGetStageId,지역
RequestStageId,의뢰 스테이지
ViaCoordinate,경유 좌표
RequestCoordinate,의뢰 좌표
CoordinateShowType,완료좌표 미니맵 표시 여부
RequestObjectiveSID,임무 목표
DefCriticalOutcome,받는치명 피해 감소
MonAttackDamage,몬스터의 피해 증가
MonDefense,몬스터의 피해 감소
DefSmiteSkillDamage,받는 강타 피해 감소
DarkdefenseDamage,암흑 피해
SkillDamage,스킬 피해
DefSkillDamage,받는 스킬 피해 감소
AtkAllDamage,모든 피해
DefAllDamage,모든 피해 감소
StunPer,기절 확률 증가
DefStunPer,기절 확률 감소
KnockDownPer,넉다운 확률 증가
DefKnockDownPer,넉다운 확률 감소
SmiteBuffPer,강타 확률 증가
DefSmiteBuffPer,강타 확률 감소
DeBuffPer,약화 확률 증가
DefDeBuffPer,약화 확률 감소
CursePer,저주 확률 증가
DefCursePer,저주 확률 감소
CombatPower,전투력
QuestDailyHomeworkId, 미션 ID
QuestDailyHomeworkTitleSID, 일일과제 제목
QuestDailyHomeworkTextSID, 일일과제 설명 
MissionType,유형
RewardGOLD,동전 보상
RewardGoodsType,보상 굿즈 타입
RewardGoodsCount,보상 굿즈 개수
RewardItem01Id,보상 아이템 #1
RewardItem01Count,보상 수량 #1
RewardItem02Id,보상 아이템 #2
RewardItem02Count,보상 수량 #2
AchievementId,업적 ID
AchievementName,업적 이름
AchievementCategory,업적 카테고리
CombatPower_02,권장전투력
EnableCombatPower,입장 전투력
RecommendedPerson,권장 인원
ClassItem01,보상 아이템 #1
ClassItem02,보상 아이템 #2
ClassItem03,보상 아이템 #3
ClassItem04,보상 아이템 #4
ClassItem05,보상 아이템 #5
RideSpeed,탈것 이동 속도
FastRideSpeed,탈것 가속 이동 속도
FastRideSec,탈것 가속 유지 시간
UnlockNeedCostType,구입 아이템 타입
UnlockNeedCostId,잠금 해제 아이템
UnlockNeedCostValue,잠금 해제 수량
OpenAttributeType,오픈 효과
OpenAttributeValue,오픈 효과 수치
AttributeType01,능력치타입1
AttributeValue01,능력치수치1
AttributeType02,능력치타입2
AttributeValue02,능력치수치2
AttributeType03,능력치타입3
AttributeValue03,능력치수치3
AttributeType04,능력치타입4
AttributeValue04,능력치수치4
AttributeType05,능력치타입5
AttributeValue05,능력치수치5
AttributeType06,능력치타입6
AttributeValue06,능력치수치6
AttributeType07,능력치타입7
AttributeValue07,능력치수치7
AttributeType08,능력치타입8
AttributeValue08,능력치수치8
ObjectGatherType,채집 오브젝트 타입
ObjectType,오브젝트 타입
CastingDesc,캐스팅 안내문구 ID
ResourceId,리소스 ID
ObjectScale,오브젝트 스케일
ObjectNameOnOff,이름 출력 on/off
InteractionValue,인터렉션 페이백
CollectActivationType,채집 활성화 조건
CollectActivationValue,채집 활성화 조건 값
AlwaysVisible,퀘스트 오브젝트 on/off 여부
CollectQualificationType,채집 조건 타입
CollectQualificationValue,채집 조건 값
CollectMethod,수집 방법
InteractionRange,인터렉션 범위
ProgressRange,채광, 수집 진행 범위
BroadcastingSize,브로드캐스팅
CollectCountMin,수집 가능 횟수 최소값
CollectCountMax,수집 가능 횟수 최대값
CastingTime,수집 소요시간
FixedDropItemId,확정드랍 아이템
IconCoordinate,채집 아이콘 출력 위치
DecalScale,데칼 크기 설정
CollectAniType,채집 애니 타입
ObjectLoopFxId,오브젝트 루프 이펙트
ObjectGenFxId,오브젝트 젠 이펙트
ObjectAniOnOff,젠 동작 여부
ABPLink,젠 동작 애니메이션 블루프린트
ObjectDisappearTime,오브젝트 사라지는 시간
DropItemId,드랍 아이템
MonGenType,몬스터 젠타입
MonsterID,몬스터 ID
SpawnCount,몬스터 리젠 수량
SpawnRange,소환 범위
MonGenValue,몬스터가 소환될 확률
LinkOccupationId,연결된 점령전 아이디
GetWayType,획득경로 2차 타입
GenMessageStringTemplateIdTitle,젠 될때 알림 메시지 제목
GenMessageStringTemplateIdContent,젠 될때 알림 메시지 내용
BuildingStepId,건물단계 ID
GreatBuildingId,위업 ID
BuildingStep,위업 단계
BuildingCombat,전투력
AchievementIdCondition01,업적조건01
AchievementIdConditionString01,달성 조건 #1
AchievementIdContentsId01,콘텐츠ID01
AchievementIdCondition02,업적조건02
AchievementIdConditionString02,달성 조건 #2
AchievementIdContentsId02,콘텐츠ID02
AchievementIdCondition03,업적조건03
AchievementIdConditionString03,달성 조건 #3
AchievementIdContentsId03,콘텐츠ID03
BuildingIdCondition01,건물조건 #1
BuildingIdCondition02,건물조건 #2
BuildingIdCondition03,건물조건 #3
NeedType01,조건타입01
NeedID01,조건타입참조값01
NeedUseID01,타입Use참조값01
NeedCount01,필요 재화 #1
NeedType02,조건타입02
NeedID02,조건타입참조값02
NeedUseID02,타입Use참조값02
NeedCount02,필요 재화 #2
NeedType03,조건타입03
NeedID03,조건타입참조값03
NeedUseID03,타입Use참조값03
NeedCount03,필요 재화 #3
NeedType04,조건타입04
NeedID04,조건타입참조값04
NeedUseID04,타입Use참조값04
NeedCount04,필요 재화#4
UpgradeTime,업그레이드 소요시간(초)
GuildHelpTime,문파 지원시 차감시간(초)
ClassType,클래스별보상
EffectType01,보상타입01
EffectValue01,타입참조값01
EffectNum01,참조값01
EffectString01,달성보상 #1
EffectIcon01,아이콘01
EffectType02,보상타입02
EffectValue02,타입참조값02
EffectNum02,참조값02
EffectString02,달성보상 #2
EffectIcon02,아이콘02
EffectType03,보상타입03
EffectValue03,타입참조값03
EffectNum03,참조값03
EffectString03,달성보상 #3
EffectIcon03,아이콘03
EffectType04,보상타입04
EffectValue04,타입참조값04
EffectNum04,참조값04
EffectString04,달성보상 #4
EffectIcon04,아이콘04
MoneyId,재화
MoneyIdChain,듀얼 재화
MoneyIValue,가격
MarketUId,현금 결제 정보
MileageId,마일리지 ID
MileageValue,마일리지 액수
GachaIntervalTime,무료 가챠 갱신 시간
GachaDiscountValue,가챠 한번 더 할인
LimitServer,서버 구매 개수 제한
LimitServerCount,서버 구매 제한 개수
LimitTarget,구매 제한 대상
LimitCountType,구매 제한 타입
LimitCountValue,구매 제한 횟수
LimitLevelMin,최소 레벨 제한
LimitLevelMax,최대 레벨 제한
DiscountRate,할인 금액
IncreaseRate,증액 개수
RandomRate,랜덤 선택 확률
PopUpType,상세 팝업 타입
EventId,이벤트 ID
IconId,상품 아이콘 아이디
EffectId,상품 이팩트 아이디
OrderNum,정렬 순서
TagIconId,태그 아이콘
DisplayOnOff,디스 플레이
OnOFF,상품 표시
RandomGetId,랜덤 겟 ID
OpenEffect,발동 연출 설정
ItemId,아이템 ID
RewardProbability,보상 선택 확률
RewardType,보상 종류
RewardId,보상 세부 값
RewardValue,보상 개수
ItemId,아이템 아이디
Buffid,효과
UseId,유즈 아이디
NameStrId,이름
NameSid,이름
NoteSid,설명
MeshId,메쉬 아이디
Icon,아이콘
Level,레벨업 레벨
ItemNumber,아이템 번호
MainType,아이템 타입
SubType,서브 타입
ClassId,클래스
ReqClassLevel,클래스 레벨 제한
Tier,티어
Grade,등급
SellType,판매 타입
SellPrice,판매 가격
Trade,거래소 거래
Stackable,최대 겹침개수
Attribute1Type,능력#1
Attribute1Value,능력 #1
Attribute2Type,능력#2
Attribute2Value,능력 #2
Attribute3Type,능력#3
Attribute3Value,능력 #3
Attribute4Type,능력#4
Attribute4Value,능력 #4
Attribute5Type,능력#5
Attribute5Value,능력 #5
SpecialAttribute1Open,특수 능력 1 오픈 값
SpecialAttribute1Type,특수 능력치 1 타입
SpecialAttribute1Value,특수 능력치 1 수치 값
SpecialAttribute2Open,특수 능력 2 오픈 값
SpecialAttribute2Type,특수 능력치 2 타입
SpecialAttribute2Value,특수 능력치 2 수치 값
SpecialAttribute3Open,특수 능력 3 오픈 값
SpecialAttribute3Type,특수 능력치 3 타입
SpecialAttribute3Value,특수 능력치 3 수치 값
PassiveId01,패시브정보
CoolTime,재사용 대기시간
AttributionType,귀속 타입
RandomOptionCountMax,랜덤 옵션 개수 최대
RandomOptionGroupId,랜덤 옵션 그룹 아이디
SetGroupId,세트 아이디
ReinforceMaxLv,레벨업 최대 레벨
SmeltingMaxCount,강화 최대 수치
SmeltingEffectType,무기 강화 이팩트
JewelUpgradeType,보석 강화 타입
JewelUpgradeCount,보석 강화 수치
JewelComposePermission,보석 승급 권한
JewelComposeType,보석 승급 타입
PolishPermission,연마 가능 여부
SummonGroupId,소환 몬스터 그룹 ID
CastingType,캐스팅 사용 여부
CastingTime,캐스팅 시간 설정
SummonStageType,소환 지역
ItemCasting,캐스팅 안내문구
CollectAniType,채집 애니 타입
GetWayId,획득경로
OverlapEquipAble,정령 아이템 중복 장착
UnsealingType,봉인해제 타입
OpenboxRewardType,공통 연결 ID의 타입 구분
OpenboxRewardId,지급 품목
RandomGetCnt,랜덤 겟 횟수 값
Durability,내구도
Durability_RepairAble,수리불가
IconTemp,임시아이콘
TradeType,거래소 거래
UseTimeType,기간제 타입
UseEndType_Period,기간제 시간 설정
UseEndType_Minute,시간제 시간 설정
PackageId,패키지 ID
OpenEffect,발동 연출 설정
RewardType1,보상 종류1
RewardId1,보상 세부 값1 배열
RewardValue1,보상 개수1
RewardType2,보상 종류2
RewardId2,보상 세부 값2
RewardValue2,보상 개수2
RewardType3,보상 종류3
RewardId3,보상 세부 값3
RewardValue3,보상 개수3
RewardItem1,보상 아이템1
RewardItemValue1,아이템 개수1
RewardItem2,보상 아이템2
RewardItemValue2,아이템 개수2
RewardItem3,보상 아이템3
RewardItemValue3,아이템 개수3
RewardItem4,보상 아이템4
RewardItemValue4,아이템 개수4
RewardItem5,보상 아이템5
RewardItemValue5,아이템 개수5
RewardItem6,보상 아이템6
RewardItemValue6,아이템 개수6
RewardItem7,보상 아이템7
RewardItemValue7,아이템 개수7
AttributeValue03,능력치수치3
PkOnOff,PK 가능여부
PkPenalty,성향 패널티
PKtendency,성향 패널티
DeathPenalty_Steal,유실물 드랍 패널티
DeathPenalty_EXP,경험치 패널티
DeathPenalty_Durability,내구도 패널티
DeathPenalty_Injure,내상 패널티
PkSteal,약탈 패널티
PkDurability,내구도 감소
StealMinCount,약탈 최소 수량
StealMaxCount,약탈 최대 수량
LevelParam,레벨 가중치
DropItemProbability01,드랍 확률
DropItemGradeMin01,드랍 최소 등급
DropItemGradeMax01,드랍 최대 등급
DropItemRatioMin01,드랍 최소 비율
DropItemRatioMax01,드랍 최대 비율
DropItemProbability02,드랍 확률
DropItemGradeMin02,드랍 최소 등급
DropItemGradeMax02,드랍 최대 등급
DropItemRatioMin02,드랍 최소 비율
DropItemRatioMax02,드랍 최대 비율
EnableLevel,입장레벨
EnableQuest,해당 퀘스트 완료시 입장 가능
StageType,지역 타입
PetId,정령Id
NameId,이름
Tier,등급
Skillid01,1번 스킬
Skillid02,2번 스킬
Skillid03,3번 스킬
Skillid04,4번 스킬
Skillid05,5번 스킬
UnlockNeedItemUseId,획득 요구 아이템
UpgradeNeedItemId01,승급 필요 아이템1
UpgradeNeedItemId02,승급 필요 아이템2
UpgradeNeedMoneyId,승급 머니
UpgradeNeedMoneyValue,승급 머니 수량
AttackType,공격 타입
AttackUseType,공격 사용 타입
TargetType,스킬 사용 대상
